time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.092340,-0.0381,-0.2190,0.0196,0.223
1.095572,-0.1952,-0.2053,-0.1392,0.316
1.099615,-0.2417,-0.1038,-0.2209,0.343
1.103682,-0.2045,0.0254,-0.1500,0.255
1.108859,-0.1627,0.1368,0.0318,0.215
1.114401,-0.1617,0.1808,0.1695,0.296
1.118814,-0.1634,0.1247,0.1968,0.285
1.123431,-0.1227,0.0146,0.1479,0.193
1.128501,-0.0281,-0.0922,0.1159,0.151
1.132702,0.1183,-0.1577,0.1532,0.250
1.137745,0.2805,-0.1564,0.1785,0.367
1.141648,0.3805,-0.1124,0.1300,0.418
1.146529,0.3781,-0.0665,0.0085,0.384
1.152513,0.2931,-0.0045,-0.1502,0.329
1.155805,0.1542,0.0499,-0.2365,0.287
1.161471,0.0165,0.1087,-0.1822,0.213
1.165214,-0.1062,0.1551,-0.0524,0.195
1.170368,-0.2093,0.1466,0.0503,0.260
1.176532,-0.2813,0.0955,0.0714,0.306
1.179663,-0.3059,0.0355,0.0330,0.310
1.184194,-0.2356,0.0164,-0.0051,0.236
1.189188,-0.1042,0.0401,-0.0358,0.117
1.194712,0.0287,0.0660,-0.0945,0.119
1.198339,0.1155,0.0822,-0.1766,0.226
1.202597,0.1353,0.0816,-0.2081,0.261
1.207353,0.1290,0.0786,-0.1683,0.226
1.213321,0.1134,0.0637,-0.0692,0.147
1.217190,0.0598,-0.0057,0.0196,0.063
1.221736,-0.0196,-0.1291,0.0367,0.136
1.226632,-0.0774,-0.2490,0.0250,0.262
1.231793,-0.0898,-0.3299,0.0228,0.343
1.235570,-0.0356,-0.3507,0.0230,0.353
1.240712,0.0302,-0.2907,0.0136,0.293
1.245618,0.0841,-0.1885,0.0089,0.207
1.250172,0.1141,-0.0658,-0.0007,0.132
1.254818,0.0918,0.0677,0.0157,0.115
1.259635,0.0367,0.1763,0.0485,0.187
1.264373,-0.0276,0.2532,0.0764,0.266
1.269210,-0.0751,0.2820,0.0850,0.304
1.273621,-0.0700,0.2489,0.0367,0.261
1.278562,-0.0223,0.1899,-0.0302,0.194
1.283116,0.0559,0.1361,-0.0893,0.172
1.287514,0.1242,0.0875,-0.0931,0.178
1.292516,0.1589,0.0559,-0.0540,0.177
1.297468,0.1556,0.0149,-0.0437,0.162
1.302372,0.1193,-0.0233,-0.0431,0.129
1.306479,0.0360,-0.0541,0.0002,0.065
1.312996,-0.0871,-0.0870,0.0834,0.149
1.316835,-0.1833,-0.1220,0.1731,0.280
1.321095,-0.2529,-0.1542,0.1908,0.352
1.325300,-0.2892,-0.1624,0.1514,0.365
1.331203,-0.2376,-0.1229,0.1121,0.290
1.334888,-0.1033,-0.0387,0.0946,0.145
1.339673,0.0393,0.0567,0.0796,0.105
1.344761,0.1478,0.1251,0.0578,0.202
1.349362,0.2105,0.1430,0.0149,0.255
1.353701,0.2063,0.1110,-0.0443,0.238
1.358914,0.1620,0.0649,-0.0769,0.191
1.363373,0.1134,0.0334,-0.0547,0.130
1.367792,0.0250,0.0093,0.0055,0.027
1.372519,-0.1031,-0.0265,0.0274,0.110
1.380571,-0.2256,-0.0952,-0.0102,0.245
1.382192,-0.3261,-0.1680,-0.0594,0.372
1.386782,-0.3736,-0.2117,-0.0751,0.436
1.392436,-0.3780,-0.2075,-0.0411,0.433
1.396163,-0.3682,-0.1345,0.0401,0.394
1.400798,-0.3612,-0.0502,0.1563,0.397
1.405668,-0.3239,0.0145,0.2241,0.394
1.413490,-0.2400,0.0645,0.2344,0.342
1.415039,-0.0954,0.0999,0.2353,0.273
1.420234,0.1027,0.1302,0.2364,0.289
1.424075,0.2850,0.1483,0.2044,0.381
1.429430,0.4190,0.1424,0.1065,0.455
1.433976,0.4551,0.1222,-0.0333,0.472
1.438798,0.3703,0.0974,-0.1364,0.407
1.443018,0.1961,0.0681,-0.1485,0.255
1.448416,-0.0244,0.0247,-0.0914,0.098
1.452721,-0.2220,-0.0277,-0.0585,0.231
1.457350,-0.3662,-0.0891,-0.0664,0.383
1.462231,-0.4242,-0.1452,-0.0743,0.455
1.467102,-0.3918,-0.1936,-0.0467,0.440
1.472298,-0.3099,-0.2559,0.0018,0.402
1.475885,-0.1382,-0.2963,0.0903,0.339
1.481308,0.0607,-0.2485,0.2235,0.340
1.485563,0.1537,-0.1348,0.3178,0.378
1.490753,0.1511,-0.0125,0.3140,0.349
1.495618,0.0749,0.0732,0.2131,0.237
1.499940,-0.0719,0.0750,0.0774,0.130
1.504150,-0.2272,0.0128,0.0142,0.228
1.509719,-0.3527,-0.0561,0.0370,0.359
1.514157,-0.4701,-0.0958,0.0878,0.488
1.518934,-0.6179,-0.0925,0.1405,0.640
1.523171,-0.7793,-0.0605,0.2166,0.811
1.528608,-0.8715,-0.0382,0.3206,0.929
1.532861,-0.8521,-0.0302,0.3812,0.934
1.537669,-0.7431,-0.0104,0.3368,0.816
1.542267,-0.5924,0.0331,0.2309,0.637
1.547774,-0.4333,0.0833,0.1687,0.472
1.552160,-0.3016,0.1164,0.1618,0.361
1.556072,-0.2163,0.0899,0.1790,0.295
1.561699,-0.1654,0.0091,0.1963,0.257
1.565769,-0.1178,-0.0615,0.1851,0.228
1.570781,-0.0732,-0.0935,0.1361,0.181
1.574890,-0.0457,-0.0872,0.0830,0.129
1.580074,-0.0518,-0.0597,0.0422,0.090
1.584706,-0.1007,-0.0512,-0.0314,0.117
1.589201,-0.1781,-0.0452,-0.1236,0.221
1.594874,-0.2339,-0.0439,-0.2082,0.316
1.599537,-0.2683,-0.0425,-0.2424,0.364
1.603181,-0.2601,-0.0244,-0.2195,0.341
1.608164,-0.2168,0.0032,-0.2300,0.316
1.613617,-0.1931,0.0377,-0.3023,0.361
1.617723,-0.1844,0.0625,-0.4002,0.445
1.622351,-0.1689,0.0943,-0.4716,0.510
1.626854,-0.1325,0.1425,-0.4214,0.464
1.632304,-0.0655,0.2093,-0.2624,0.342
1.636185,0.0011,0.2685,-0.1689,0.317
1.641299,0.0221,0.3057,-0.2116,0.372
1.645970,-0.0095,0.3072,-0.2567,0.400
1.650974,-0.0411,0.2612,-0.2397,0.357
1.655395,-0.0417,0.1942,-0.2133,0.291
1.660195,-0.0185,0.1326,-0.1848,0.228
1.666296,0.0071,0.0786,-0.1851,0.201
1.676128,0.0134,0.0179,-0.2163,0.217
1.676775,-0.0064,-0.0494,-0.2545,0.259
1.681137,-0.0381,-0.1042,-0.2498,0.273
1.683341,-0.0650,-0.1252,-0.1620,0.215
1.688916,-0.0704,-0.1342,-0.0677,0.166
1.692690,-0.0474,-0.1526,-0.0358,0.164
1.698127,-0.0272,-0.1803,-0.0539,0.190
1.702539,-0.0050,-0.2124,-0.1196,0.244
1.706952,0.0358,-0.2228,-0.1658,0.280
1.713782,0.1095,-0.1690,-0.1001,0.225
1.716550,0.2232,-0.0445,0.0412,0.231
1.721315,0.3696,0.1145,0.1436,0.413
1.725777,0.5247,0.2673,0.1600,0.610
1.731446,0.6574,0.3642,0.1028,0.759
1.735569,0.7586,0.3962,0.0556,0.858
1.740031,0.8618,0.3898,0.0918,0.950
1.745278,0.9460,0.3714,0.1777,1.032
1.749597,0.9641,0.3150,0.2536,1.045
1.754282,0.8999,0.2137,0.2603,0.961
1.758927,0.7561,0.0776,0.1697,0.779
1.763841,0.5570,-0.0717,0.0323,0.563
1.768490,0.3432,-0.1795,-0.0566,0.391
1.773180,0.1620,-0.2222,-0.0475,0.279
1.778705,0.0462,-0.2005,0.0257,0.207
1.782571,0.0049,-0.1314,0.0795,0.154
1.787220,0.0206,-0.0747,0.0760,0.109
1.793204,0.0835,-0.0541,0.0797,0.127
