time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001111,-1.1684,-0.1292,-0.2620,1.204
0.004212,-1.2182,-0.2361,-0.4303,1.313
0.010101,-1.2663,-0.2407,-0.6782,1.456
0.014347,-1.2351,-0.1563,-0.8434,1.504
0.018933,-1.1498,-0.0575,-0.8553,1.434
0.024550,-1.0917,0.0382,-0.6961,1.295
0.029298,-1.0350,0.0923,-0.4835,1.146
0.033890,-1.0010,0.0884,-0.2939,1.047
0.038659,-0.9571,0.0409,-0.1222,0.966
0.044746,-0.8898,-0.0117,-0.0585,0.892
0.048811,-0.8267,-0.0669,-0.0806,0.833
0.053491,-0.7324,-0.1457,-0.0973,0.753
0.061161,-0.5961,-0.2172,-0.1397,0.650
0.063817,-0.4303,-0.2432,-0.1529,0.517
0.068760,-0.2731,-0.2432,-0.1253,0.387
0.073352,-0.1311,-0.2247,-0.0738,0.270
0.080802,0.0014,-0.2020,0.0133,0.202
0.083551,0.1040,-0.1944,0.1355,0.259
0.088269,0.1636,-0.1403,0.2357,0.319
0.095338,0.2385,-0.0874,0.3542,0.436
0.097995,0.2680,-0.0406,0.4268,0.506
0.103111,0.3031,0.0428,0.4823,0.571
0.107760,0.2826,0.0321,0.4969,0.573
0.113057,0.2715,0.0397,0.4663,0.541
0.118251,0.2868,0.0914,0.4453,0.538
0.122647,0.2933,0.1561,0.4196,0.535
0.127688,0.2917,0.1486,0.3748,0.498
0.132898,0.3179,0.1813,0.3063,0.477
0.137680,0.3219,0.1499,0.2569,0.438
0.144219,0.3320,0.1570,0.1838,0.411
0.147998,0.3664,0.1336,0.0967,0.402
0.152246,0.3937,0.1199,0.0552,0.415
0.157045,0.3827,0.1067,0.0280,0.398
0.162488,0.3760,0.0822,0.0483,0.388
0.167423,0.3664,0.0629,0.0634,0.377
0.171795,0.3578,0.0702,0.0689,0.371
0.177432,0.3899,0.0491,0.0885,0.403
0.182066,0.3478,0.0282,0.1032,0.364
0.186760,0.3308,0.0265,0.1109,0.350
0.192341,0.3151,0.0107,0.1304,0.341
0.196748,0.3074,0.0140,0.1215,0.331
0.201598,0.2767,0.0271,0.0961,0.294
0.207748,0.2400,0.0784,0.0616,0.260
0.218419,0.2238,0.0892,0.0393,0.244
0.218934,0.2092,0.1123,0.0077,0.238
0.221579,0.1917,0.1076,-0.0473,0.225
0.227433,0.2069,0.0967,-0.0996,0.249
0.231538,0.2358,0.1032,-0.1158,0.282
0.236387,0.2502,0.1175,-0.1177,0.300
0.241036,0.2884,0.1061,-0.1149,0.328
0.245968,0.3576,0.0953,-0.1193,0.389
0.251033,0.3957,0.0945,-0.0668,0.412
0.255749,0.4147,0.0940,-0.0338,0.427
0.261291,0.4436,0.0964,-0.0700,0.459
0.266015,0.4825,0.0777,-0.0870,0.496
0.270689,0.5047,0.0550,-0.1419,0.527
0.275466,0.5154,0.0617,-0.2296,0.568
0.281137,0.5170,0.0496,-0.2313,0.568
0.285744,0.5399,0.0520,-0.1902,0.575
0.290378,0.5505,0.0140,-0.1897,0.582
0.295930,0.5771,-0.0095,-0.1655,0.600
0.300505,0.5815,-0.0236,-0.1223,0.595
0.305239,0.5729,-0.0212,-0.1198,0.586
0.310987,0.5840,-0.0121,-0.1479,0.603
0.315214,0.5912,0.0015,-0.1472,0.609
0.320071,0.5682,0.0054,-0.1510,0.588
0.325009,0.5009,-0.0045,-0.2282,0.551
0.330307,0.4488,0.0052,-0.3379,0.562
0.334867,0.3810,-0.0007,-0.4251,0.571
0.341071,0.3049,0.0042,-0.5472,0.626
0.344954,0.2491,-0.0154,-0.6538,0.700
0.349678,0.1924,-0.0212,-0.7477,0.772
0.355828,0.1326,-0.0273,-0.7623,0.774
0.360990,0.0514,-0.0577,-0.7911,0.795
0.364814,-0.0195,-0.0792,-0.7058,0.710
0.369684,-0.0408,-0.1016,-0.5857,0.596
0.374174,-0.0849,-0.0900,-0.3601,0.381
0.380253,-0.1055,-0.1072,-0.0656,0.164
0.384528,-0.1134,-0.1089,0.2782,0.320
0.389026,-0.0719,-0.1131,0.6874,0.700
0.394393,-0.0024,-0.1463,1.0166,1.027
0.399439,0.0284,-0.1613,1.2143,1.225
0.403941,0.0484,-0.2079,1.3150,1.332
0.408873,0.0590,-0.2575,1.3598,1.385
0.414245,0.0401,-0.3047,1.2617,1.299
0.418716,0.0544,-0.3395,1.0909,1.144
0.424713,0.0833,-0.3805,0.9050,0.985
0.429391,0.1085,-0.3820,0.6664,0.776
0.433754,0.1646,-0.3959,0.4372,0.612
0.439539,0.2057,-0.3670,0.2078,0.469
0.444037,0.2237,-0.3144,0.0330,0.387
0.448420,0.2210,-0.2617,-0.0568,0.347
0.453857,0.2018,-0.2326,-0.1598,0.347
0.459088,0.1666,-0.2144,-0.2711,0.384
0.463296,0.1229,-0.1830,-0.3789,0.438
0.468300,0.0857,-0.1574,-0.4523,0.487
0.473029,0.0388,-0.1159,-0.5084,0.523
0.478921,-0.0122,-0.0658,-0.5236,0.528
0.483264,-0.0804,-0.0524,-0.5101,0.519
0.489166,-0.1435,-0.0118,-0.4113,0.436
0.493718,-0.1982,0.0267,-0.2184,0.296
0.497994,-0.2676,0.0412,-0.0035,0.271
0.504019,-0.3228,0.0953,0.2000,0.392
0.508582,-0.3635,0.0956,0.4041,0.552
0.514013,-0.4066,0.1109,0.5138,0.665
0.517903,-0.3999,0.1031,0.6463,0.767
0.523530,-0.4341,0.1004,0.6922,0.823
0.527692,-0.4615,0.0486,0.6760,0.820
0.532625,-0.4376,0.0387,0.6242,0.763
0.537511,-0.4016,0.0495,0.4732,0.623
0.542577,-0.3612,0.0647,0.2927,0.469
0.548058,-0.3099,0.0895,0.0638,0.329
0.552339,-0.2767,0.0719,-0.1132,0.307
0.557673,-0.2212,0.0789,-0.2649,0.354
0.562359,-0.2058,0.0990,-0.3631,0.429
0.567317,-0.1735,0.0725,-0.4699,0.506
0.571864,-0.1223,0.0711,-0.5306,0.549
0.580557,-0.0808,0.1203,-0.5147,0.535
0.582425,-0.0556,0.1031,-0.4704,0.485
0.586925,-0.0341,0.1172,-0.3932,0.412
0.591752,-0.0563,0.1171,-0.3190,0.344
0.596609,-0.0666,0.1335,-0.2833,0.320
0.601701,-0.1029,0.0598,-0.2836,0.308
0.606628,-0.0836,0.0748,-0.3717,0.388
0.624230,-0.0798,0.1358,-0.3952,0.425
0.625268,-0.7918,-0.0448,-0.4924,0.933
0.626193,-0.8736,0.0520,-0.6244,1.075
0.627225,-1.0304,0.1511,-0.6700,1.238
0.632834,-1.0752,0.2315,-0.6203,1.263
0.636412,-1.1620,0.2837,-0.6353,1.354
0.640921,-1.1476,0.3380,-0.7023,1.387
0.645875,-1.0761,0.3157,-0.6403,1.291
0.651340,-0.9017,0.1931,-0.5353,1.066
0.656428,-0.7126,0.1205,-0.4447,0.849
0.662712,-0.4158,0.0688,-0.3467,0.546
0.665929,-0.1222,0.0857,-0.1651,0.223
0.670787,0.6238,0.0997,0.1719,0.655
0.675573,1.3587,0.0457,0.4129,1.421
0.680786,1.7507,-0.0860,0.5246,1.830
0.685471,1.7048,-0.3408,0.4880,1.806
0.690181,1.6306,-0.5632,0.4037,1.772
0.702456,1.5531,-0.6473,0.2526,1.701
0.703893,1.5589,-0.6028,0.1112,1.675
0.705097,1.5275,-0.5104,-0.0802,1.612
0.710221,1.5538,-0.3389,-0.1973,1.603
0.715077,1.5127,-0.1860,-0.2331,1.542
0.720233,1.4053,-0.0899,-0.2092,1.424
0.724906,1.2898,-0.0124,-0.1592,1.300
0.730478,1.1425,0.0534,-0.0807,1.147
0.734905,0.9871,0.0808,0.0479,0.992
0.739793,0.8400,0.0956,0.1404,0.857
0.746138,0.7509,0.0805,0.2473,0.795
0.749921,0.6648,-0.0292,0.3541,0.754
0.754955,0.6888,-0.1166,0.4610,0.837
0.759543,0.7819,-0.1886,0.4987,0.946
0.764345,0.8952,-0.2167,0.5056,1.051
0.769878,1.0400,-0.2457,0.4722,1.168
0.774435,1.2029,-0.3044,0.4035,1.305
0.780810,1.4041,-0.3030,0.4429,1.503
0.784471,1.4502,-0.1114,1.0756,1.809
0.789795,1.1796,-0.1054,-0.3394,1.232
0.796622,1.1156,-0.5151,-1.5088,1.946
0.799526,1.4136,-0.7239,-0.7564,1.759
0.804495,1.7290,-0.5115,0.3158,1.831
0.809218,1.8232,-0.1568,0.3660,1.866
0.823250,1.8244,0.0034,-0.0434,1.825
0.824441,1.6445,-0.0501,-1.8331,2.463
0.825467,1.3157,-0.2652,-3.9777,4.198
0.833618,0.8052,-0.5062,-3.1238,3.265
0.834677,0.6022,-0.6182,-2.5846,2.725
0.838304,0.4837,-0.5239,-2.7256,2.817
0.843252,0.3102,-0.3919,-2.5006,2.550
0.848512,0.2323,-0.2571,-1.7903,1.824
0.853393,0.1714,-0.1456,-0.9827,1.008
0.858167,0.1052,-0.0272,-0.6207,0.630
0.862940,0.2247,0.0369,-1.1518,1.174
0.868093,1.1089,0.1751,-3.6935,3.860
0.873062,0.9115,0.0052,-3.0391,3.173
0.881038,-0.8896,-0.2151,-0.7540,1.186
0.882904,-2.9455,-0.1367,-0.4656,2.985
0.888589,-3.7290,-0.1642,-1.5836,4.055
0.892785,-3.4311,0.0894,-2.9085,4.499
0.897886,-3.4181,0.4909,-3.6555,5.029
0.902859,-3.1983,0.9425,-4.0359,5.235
0.907740,-2.3771,1.2919,-4.3564,5.128
0.922317,0.6602,2.0784,-5.9314,6.320
0.924062,0.8892,1.7390,-2.0952,2.864
0.924841,-0.9471,0.4721,0.3614,1.118
0.927851,-0.5162,0.3459,0.9068,1.099
0.932708,0.9772,0.7739,1.4301,1.897
0.937211,1.3831,0.7805,1.4339,2.140
0.941911,1.4316,0.4618,1.4279,2.074
0.947342,1.5659,0.1871,1.1826,1.971
0.952242,1.6082,-0.0354,0.5286,1.693
0.957308,1.8077,0.1088,-0.1295,1.816
0.962582,2.4722,0.4708,-0.5215,2.570
0.966608,3.7387,0.2931,-2.8184,4.691
0.971627,4.6245,0.1200,-4.9615,6.784
0.976617,2.6831,-0.3449,-0.4139,2.737
0.981531,3.3028,-0.0435,-1.7490,3.738
0.986609,2.7069,0.2587,-1.4037,3.060
0.991895,2.2601,0.4784,-1.8092,2.934
1.002558,1.7280,0.7281,-2.2069,2.896
1.003779,1.2331,0.8398,-2.4076,2.832
1.006273,0.8079,0.9732,-2.5602,2.856
1.011238,0.3916,1.0590,-2.6287,2.861
1.016125,0.0016,1.0545,-2.8069,2.998
1.021264,0.0249,1.4430,-3.0684,3.391
1.025968,-0.1253,1.4754,-3.4466,3.751
1.031203,-0.3115,1.5825,-3.6471,3.988
1.036077,-1.0196,2.0166,-3.5124,4.177
1.040892,-0.5285,1.1823,-2.8875,3.165
1.046823,-0.0121,1.2546,-3.6691,3.878
1.051823,0.4673,1.6006,-3.8181,4.166
1.056078,1.0222,1.8635,-4.0790,4.600
1.060934,3.1242,2.7796,-5.7547,7.114
1.067537,4.6216,3.2154,-5.6919,8.006
1.071231,3.8953,2.7388,-4.7005,6.691
1.075473,4.2079,2.5324,-6.4036,8.070
1.081764,4.1981,2.0479,-7.5934,8.915
1.088662,4.1937,1.6580,-7.8280,9.034
1.090450,4.4801,1.5536,-7.9428,9.251
1.097044,4.8094,1.7545,-7.8587,9.379
1.100365,4.9967,1.8806,-7.4827,9.192
1.105311,5.0282,1.8413,-6.6695,8.553
1.110173,4.7072,1.6010,-5.7833,7.627
1.122544,4.1997,1.2465,-5.1088,6.730
1.124192,3.4640,0.7078,-4.7919,5.955
1.125135,2.6477,0.0441,-4.6289,5.333
1.135092,1.9809,-0.3911,-4.4237,4.863
1.136669,1.5218,-0.5314,-4.3750,4.663
1.139931,1.2496,-0.3000,-4.3008,4.489
1.144581,1.1032,0.1331,-4.2749,4.417
1.149701,1.1316,0.7924,-4.4425,4.652
