,predicted_values,actual_values,is_correct_prediction
0,Jeremy,Brad,False
1,Jeremy,Brad,False
2,Brad,Brad,True
3,Brad,Brad,True
4,Brad,Brad,True
5,Brad,Brad,True
6,Brad,Brad,True
7,Jeremy,Brad,False
8,Jeremy,Brad,False
9,Jeremy,Brad,False
10,Brad,Brad,True
11,Brad,Brad,True
12,Jeremy,Brad,False
13,Brad,Brad,True
14,Brad,Brad,True
15,Brad,Brad,True
16,Brad,Brad,True
17,Jeremy,Brad,False
18,Brad,Brad,True
19,Brad,Brad,True
20,Jeremy,Brad,False
21,Jerrick,Brad,False
22,Brad,Brad,True
23,Brad,Brad,True
24,Brad,Brad,True
25,Brad,Brad,True
26,Brad,Brad,True
27,Jerrick,Brad,False
28,Brad,Brad,True
29,Jeremy,Brad,False
30,Jerrick,Brad,False
31,Brad,Brad,True
32,Jeremy,Brad,False
33,Brad,Brad,True
34,Brad,Brad,True
35,Brad,Brad,True
36,Brad,Brad,True
37,Brad,Brad,True
38,Brad,Brad,True
39,Brad,Brad,True
40,Brad,Brad,True
41,Jeremy,Brad,False
42,Brad,Brad,True
43,Brad,Brad,True
44,Brad,Brad,True
45,Brad,Brad,True
46,Jeremy,Brad,False
47,Brad,Brad,True
48,Jeremy,Brad,False
49,Brad,Brad,True
50,Brad,Brad,True
51,Jeremy,Brad,False
52,Brad,Brad,True
53,Jeremy,Brad,False
54,Jeremy,Brad,False
55,Jeremy,Brad,False
56,Brad,Brad,True
57,Jeremy,Brad,False
58,Brad,Brad,True
59,Brad,Brad,True
60,Brad,Brad,True
61,Brad,Brad,True
62,Brad,Brad,True
63,Jeremy,Brad,False
64,Brad,Brad,True
65,Jeremy,Brad,False
66,Brad,Brad,True
67,Jeremy,Brad,False
68,Brad,Brad,True
69,Brad,Brad,True
70,Brad,Brad,True
71,Jeremy,Brad,False
72,Brad,Brad,True
73,Brad,Brad,True
74,Brad,Brad,True
75,Brad,Brad,True
76,Jeremy,Brad,False
77,Brad,Brad,True
78,Jeremy,Brad,False
79,Brad,Brad,True
80,Jeremy,Brad,False
81,Brad,Brad,True
82,Brad,Brad,True
83,Jeremy,Brad,False
84,Jeremy,Brad,False
85,Brad,Brad,True
86,Brad,Brad,True
87,Brad,Brad,True
88,Brad,Brad,True
89,Brad,Brad,True
90,Brad,Brad,True
91,Jeremy,Brad,False
92,Brad,Brad,True
93,Brad,Brad,True
94,Brad,Brad,True
95,Brad,Brad,True
96,Brad,Brad,True
97,Jerrick,Brad,False
98,Brad,Brad,True
99,Jerrick,Brad,False
100,Jeremy,Brad,False
101,Brad,Brad,True
102,Jerrick,Brad,False
103,Jeremy,Brad,False
104,Brad,Brad,True
105,Brad,Brad,True
106,Brad,Brad,True
107,Brad,Brad,True
108,Jeremy,Brad,False
109,Brad,Brad,True
110,Jeremy,Brad,False
111,Brad,Brad,True
112,Brad,Brad,True
113,Jeremy,Brad,False
114,Brad,Brad,True
115,Brad,Brad,True
116,Jeremy,Brad,False
117,Brad,Brad,True
118,Brad,Brad,True
119,Brad,Brad,True
120,Brad,Brad,True
121,Brad,Brad,True
122,Jerrick,Brad,False
123,Brad,Brad,True
124,Jeremy,Brad,False
125,Brad,Brad,True
126,Brad,Brad,True
127,Brad,Brad,True
128,Jeremy,Brad,False
129,Brad,Brad,True
130,Brad,Brad,True
131,Jeremy,Brad,False
132,Brad,Brad,True
133,Jeremy,Brad,False
134,Brad,Brad,True
135,Brad,Brad,True
136,Brad,Brad,True
137,Brad,Brad,True
138,Brad,Brad,True
139,Brad,Brad,True
140,Jeremy,Brad,False
141,Brad,Brad,True
142,Brad,Brad,True
143,Brad,Brad,True
144,Jeremy,Brad,False
145,Brad,Brad,True
146,Brad,Brad,True
147,Brad,Brad,True
148,Jeremy,Brad,False
149,Brad,Brad,True
150,Jeremy,Brad,False
151,Brad,Brad,True
152,Jeremy,Brad,False
153,Brad,Brad,True
154,Jeremy,Brad,False
155,Brad,Brad,True
156,Brad,Brad,True
157,Brad,Brad,True
158,Jeremy,Brad,False
159,Brad,Brad,True
160,Jeremy,Brad,False
161,Brad,Brad,True
162,Jeremy,Brad,False
163,Brad,Brad,True
164,Jeremy,Brad,False
165,Brad,Brad,True
166,Brad,Brad,True
167,Brad,Brad,True
168,Jeremy,Brad,False
169,Brad,Brad,True
170,Brad,Brad,True
171,Brad,Brad,True
172,Brad,Brad,True
173,Brad,Brad,True
174,Brad,Brad,True
175,Jeremy,Brad,False
176,Jeremy,Brad,False
177,Jeremy,Brad,False
178,Brad,Brad,True
179,Brad,Brad,True
180,Brad,Brad,True
181,Brad,Brad,True
182,Brad,Brad,True
183,Jeremy,Brad,False
184,Brad,Brad,True
185,Brad,Brad,True
186,Brad,Brad,True
187,Jeremy,Brad,False
188,Brad,Brad,True
189,Brad,Brad,True
190,Brad,Brad,True
191,Brad,Brad,True
192,Jeremy,Brad,False
193,Brad,Brad,True
194,Brad,Brad,True
195,Brad,Brad,True
196,Jeremy,Brad,False
197,Brad,Brad,True
198,Jeremy,Brad,False
199,Brad,Brad,True
200,Brad,Brad,True
201,Brad,Brad,True
202,Brad,Brad,True
203,Brad,Brad,True
204,Jeremy,Brad,False
205,Jeremy,Brad,False
206,Brad,Brad,True
207,Brad,Brad,True
208,Jeremy,Brad,False
209,Brad,Brad,True
210,Brad,Brad,True
211,Brad,Brad,True
212,Brad,Brad,True
213,Brad,Brad,True
214,Jeremy,Brad,False
215,Jeremy,Brad,False
216,Jeremy,Brad,False
217,Brad,Brad,True
218,Brad,Brad,True
219,Brad,Brad,True
220,Jeremy,Brad,False
221,Jeremy,Brad,False
222,Brad,Brad,True
223,Brad,Brad,True
224,Brad,Brad,True
225,Brad,Brad,True
226,Brad,Brad,True
227,Brad,Brad,True
228,Brad,Brad,True
229,Jeremy,Brad,False
230,Brad,Brad,True
231,Brad,Brad,True
232,Brad,Brad,True
233,Jerrick,Brad,False
234,Brad,Brad,True
235,Jerrick,Brad,False
236,Brad,Brad,True
237,Brad,Brad,True
238,Brad,Brad,True
239,Jeremy,Brad,False
240,Brad,Brad,True
241,Brad,Brad,True
242,Brad,Brad,True
243,Brad,Brad,True
244,Brad,Brad,True
245,Brad,Brad,True
246,Brad,Brad,True
247,Jeremy,Brad,False
248,Brad,Brad,True
249,Jerrick,Brad,False
250,Brad,Brad,True
251,Brad,Brad,True
252,Jeremy,Brad,False
253,Jeremy,Brad,False
254,Brad,Brad,True
255,Brad,Brad,True
256,Brad,Brad,True
257,Jeremy,Brad,False
258,Brad,Brad,True
259,Jeremy,Brad,False
260,Brad,Brad,True
261,Brad,Brad,True
262,Brad,Brad,True
263,Jeremy,Brad,False
264,Brad,Brad,True
265,Jeremy,Brad,False
266,Brad,Brad,True
267,Brad,Brad,True
268,Jeremy,Brad,False
269,Brad,Brad,True
270,Brad,Brad,True
271,Brad,Brad,True
272,Jeremy,Brad,False
273,Brad,Brad,True
274,Jerrick,Brad,False
275,Brad,Brad,True
276,Brad,Brad,True
