time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.685259,-0.4379,-0.0624,0.3094,0.540
4.685708,-0.5776,-0.1074,0.1866,0.616
4.690083,-0.6388,-0.1234,-0.0090,0.651
4.694725,-0.5791,-0.0820,-0.1105,0.595
4.700382,-0.3778,0.0018,-0.0545,0.382
4.704200,-0.1045,0.0872,0.1057,0.172
4.708768,0.1456,0.1219,0.2507,0.315
4.719803,0.3300,0.0921,0.2973,0.454
4.720938,0.4326,0.0363,0.2700,0.511
4.723291,0.4494,-0.0072,0.2453,0.512
4.728331,0.4189,-0.0077,0.2874,0.508
4.733552,0.3560,0.0226,0.3390,0.492
4.737175,0.2250,0.0715,0.3143,0.393
4.742377,0.0478,0.1057,0.1831,0.217
4.746981,-0.1423,0.1064,-0.0207,0.179
4.751289,-0.3051,0.0692,-0.2350,0.391
4.756877,-0.4078,0.0254,-0.3696,0.551
4.760882,-0.4247,-0.0250,-0.3725,0.565
4.765516,-0.3635,-0.0679,-0.2971,0.474
4.772317,-0.2675,-0.0937,-0.2128,0.354
4.774958,-0.1535,-0.1121,-0.1625,0.250
4.781642,-0.0333,-0.1090,-0.1435,0.183
4.784487,0.0648,-0.0774,-0.1273,0.162
4.789278,0.1289,-0.0200,-0.0852,0.156
4.794310,0.1762,0.0440,-0.0055,0.182
4.799813,0.1974,0.1003,0.0545,0.228
4.803682,0.1855,0.1205,0.0758,0.234
4.808361,0.1526,0.1049,0.0849,0.204
4.814329,0.0867,0.0727,0.1106,0.158
4.817586,0.0167,0.0338,0.1766,0.181
4.821932,0.0017,-0.0215,0.2541,0.255
4.826618,0.0106,-0.0669,0.2885,0.296
4.834221,0.0172,-0.0858,0.2561,0.271
4.836315,0.0237,-0.0951,0.2146,0.236
4.841687,0.0161,-0.0806,0.2233,0.238
4.845887,0.0159,-0.0568,0.2749,0.281
4.850186,0.0136,-0.0095,0.3143,0.315
4.855006,-0.0124,0.0327,0.2939,0.296
4.859358,-0.0596,0.0365,0.2428,0.253
4.864193,-0.0993,0.0142,0.2324,0.253
4.868865,-0.1293,-0.0316,0.2674,0.299
4.873984,-0.1448,-0.0843,0.2833,0.329
4.879417,-0.1745,-0.1364,0.2397,0.326
4.882869,-0.2256,-0.1668,0.1871,0.337
4.887581,-0.2526,-0.1636,0.1966,0.360
4.892648,-0.2605,-0.1178,0.2585,0.385
4.896874,-0.2590,-0.0581,0.2773,0.384
4.901665,-0.2386,-0.0131,0.2200,0.325
4.906443,-0.2018,-0.0088,0.1272,0.239
4.914199,-0.1583,-0.0140,0.0755,0.176
4.916053,-0.1031,-0.0381,0.1096,0.155
4.921101,-0.0482,-0.0859,0.1579,0.186
4.927951,-0.0175,-0.1166,0.1488,0.190
4.932634,-0.0226,-0.1376,0.0851,0.163
4.935556,-0.0491,-0.1465,-0.0020,0.155
4.939754,-0.0922,-0.1173,-0.0268,0.152
4.945859,-0.1279,-0.0669,0.0601,0.156
4.949286,-0.1492,-0.0027,0.1393,0.204
4.953921,-0.1584,0.0823,0.0920,0.201
4.958021,-0.1651,0.1667,-0.0074,0.235
4.962862,-0.1741,0.2123,-0.0489,0.279
4.967799,-0.1904,0.2054,-0.0664,0.288
4.972592,-0.2210,0.1535,-0.1027,0.288
4.977240,-0.2471,0.0783,-0.1222,0.287
4.982296,-0.2236,0.0015,-0.1058,0.247
4.986602,-0.1482,-0.0462,-0.0540,0.164
4.991243,-0.0638,-0.0531,0.0046,0.083
4.996076,0.0010,-0.0458,0.0556,0.072
5.000974,0.0395,-0.0172,0.1038,0.112
5.005330,0.0471,0.0325,0.1373,0.149
5.010832,0.0263,0.0485,0.1611,0.170
5.015020,-0.0322,0.0168,0.1802,0.184
5.019803,-0.1070,-0.0621,0.1753,0.215
5.025048,-0.1840,-0.1521,0.1444,0.279
5.029313,-0.2228,-0.2033,0.1445,0.334
5.034153,-0.1902,-0.1876,0.1779,0.321
5.039432,-0.1197,-0.1151,0.1852,0.249
5.042875,-0.0755,-0.0243,0.1426,0.163
5.047828,-0.0932,0.0515,0.0740,0.130
5.054258,-0.1772,0.1030,0.0153,0.206
5.057180,-0.3153,0.1019,-0.0216,0.332
5.063543,-0.4695,0.0510,-0.0394,0.474
5.066729,-0.5732,-0.0231,-0.0144,0.574
5.071597,-0.5914,-0.0893,0.0626,0.601
5.076169,-0.5432,-0.1217,0.1747,0.583
5.081349,-0.4601,-0.0944,0.2695,0.541
5.085849,-0.3658,-0.0057,0.2447,0.440
5.090660,-0.2890,0.1061,0.1202,0.331
5.097480,-0.2108,0.1862,0.0467,0.285
5.100375,-0.0740,0.2133,0.0521,0.232
5.104845,0.0852,0.1714,0.0934,0.213
5.109986,0.2028,0.0775,0.1583,0.269
5.115365,0.2696,-0.0014,0.2087,0.341
5.119424,0.2912,-0.0227,0.2445,0.381
5.123792,0.2657,-0.0036,0.2659,0.376
5.135716,0.1744,0.0437,0.2303,0.292
5.137315,0.0151,0.0787,0.1379,0.160
5.142093,-0.1858,0.0732,0.0650,0.210
5.144547,-0.3476,0.0346,0.0661,0.356
5.149359,-0.4209,-0.0439,0.1433,0.447
5.152614,-0.3965,-0.1170,0.2483,0.482
5.156631,-0.3107,-0.1562,0.3265,0.477
5.161234,-0.1969,-0.1667,0.3544,0.438
5.166385,-0.0887,-0.1487,0.3441,0.385
5.170984,-0.0214,-0.1190,0.2698,0.296
5.175333,-0.0020,-0.0967,0.1535,0.181
5.179996,0.0006,-0.1078,0.0927,0.142
5.185181,-0.0133,-0.1449,0.1059,0.180
5.191075,-0.0556,-0.1912,0.1689,0.261
5.194816,-0.1047,-0.2158,0.2385,0.338
5.199294,-0.1773,-0.2045,0.2481,0.367
5.203805,-0.2330,-0.1506,0.2079,0.347
5.208343,-0.2219,-0.0234,0.1656,0.278
5.216986,-0.1754,0.1288,0.1190,0.248
5.219696,-0.1104,0.2394,0.0537,0.269
5.222973,-0.0106,0.3087,-0.0251,0.310
5.227029,0.1144,0.3205,-0.1389,0.368
5.233264,0.2144,0.2657,-0.2422,0.419
5.236408,0.3042,0.2019,-0.2519,0.444
5.241211,0.4076,0.1504,-0.1784,0.470
5.247299,0.4749,0.1041,-0.0935,0.495
5.253682,0.4923,0.0485,-0.0472,0.497
5.255298,0.4648,-0.0042,-0.0370,0.466
5.260566,0.4048,-0.0495,-0.0293,0.409
5.265767,0.3005,-0.0826,-0.0003,0.312
5.270497,0.1378,-0.1154,0.0332,0.183
5.274410,-0.0258,-0.1575,0.0356,0.163
5.280048,-0.1575,-0.2039,0.0022,0.258
5.283883,-0.2741,-0.2521,-0.0405,0.375
5.288295,-0.3760,-0.2786,-0.0497,0.471
5.294481,-0.4464,-0.2549,-0.0115,0.514
5.297789,-0.4882,-0.1553,0.0715,0.517
5.302682,-0.4918,-0.0162,0.1752,0.522
5.308106,-0.4625,0.1147,0.2401,0.534
5.314349,-0.3934,0.2113,0.2213,0.498
5.316710,-0.2659,0.2383,0.1767,0.398
5.321640,-0.0731,0.2033,0.1634,0.271
5.326331,0.1586,0.1448,0.1860,0.284
5.336185,0.3701,0.0986,0.2323,0.448
5.337510,0.4737,0.0668,0.2760,0.552
5.340537,0.4536,0.0376,0.2840,0.537
5.346248,0.3630,0.0108,0.2611,0.447
5.351326,0.1809,-0.0134,0.2241,0.288
5.354971,-0.0424,-0.0302,0.2063,0.213
5.359695,-0.2523,-0.0397,0.2029,0.326
5.364508,-0.4278,-0.0752,0.1616,0.463
5.369696,-0.5170,-0.1435,0.0682,0.541
5.374661,-0.5136,-0.2040,-0.0221,0.553
5.378717,-0.4347,-0.2116,-0.0145,0.484
5.382941,-0.3047,-0.1692,0.0572,0.353
5.387885,-0.1522,-0.1034,0.1024,0.211
5.392723,0.0132,-0.0169,0.1212,0.123
5.397625,0.1799,0.0594,0.1067,0.217
5.402085,0.3313,0.1184,0.0356,0.354
5.406676,0.4439,0.1649,-0.0634,0.478
5.411655,0.5062,0.1871,-0.1259,0.554
5.416959,0.5305,0.1854,-0.1404,0.579
5.422008,0.5121,0.1647,-0.0932,0.546
5.425227,0.4395,0.1275,-0.0035,0.458
5.435553,0.3676,0.0858,0.0689,0.384
5.436403,0.3083,0.0610,0.1100,0.333
5.441273,0.2519,0.0673,0.1507,0.301
5.443993,0.2319,0.0925,0.1768,0.306
5.449772,0.2242,0.1198,0.1791,0.311
5.453960,0.2288,0.1159,0.1791,0.313
5.457692,0.2264,0.0717,0.1126,0.263
5.463173,0.2171,-0.0102,-0.0176,0.218
5.467108,0.2176,-0.0818,-0.0993,0.253
5.472123,0.2205,-0.1316,-0.0879,0.271
5.476866,0.2212,-0.1809,-0.0076,0.286
5.481414,0.2053,-0.1943,0.0696,0.291
5.486445,0.1682,-0.1838,0.0845,0.263
5.490902,0.1363,-0.1354,0.0445,0.197
5.496282,0.1144,-0.0589,-0.0142,0.129
5.500718,0.1072,0.0122,-0.0180,0.109
5.504872,0.1170,0.0565,0.0162,0.131
