time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001427,0.2653,0.1552,0.0658,0.314
0.004360,0.2457,0.1231,0.0337,0.277
0.009550,0.2267,0.1433,0.0586,0.275
0.014411,0.2655,0.1530,-0.0043,0.306
0.018998,0.2825,0.1542,-0.0850,0.333
0.024779,0.2681,0.1183,-0.1450,0.327
0.028778,0.2025,0.0521,-0.1859,0.280
0.033918,0.1712,0.0480,-0.2194,0.282
0.039111,0.1588,0.0462,-0.2310,0.284
0.044867,0.1651,0.0959,-0.2180,0.290
0.049414,0.2068,0.0948,-0.1904,0.297
0.054063,0.2292,0.1098,-0.1722,0.307
0.059030,0.2607,0.1243,-0.1774,0.339
0.063432,0.2710,0.1168,-0.1278,0.322
0.069184,0.2968,0.1733,-0.0411,0.346
0.073975,0.3094,0.1556,-0.0338,0.348
0.080608,0.3375,0.1358,-0.0319,0.365
0.086932,0.3954,0.1310,-0.0284,0.417
0.088395,0.4527,0.1552,0.0641,0.483
0.093688,0.4865,0.1826,0.1044,0.530
0.097704,0.5214,0.2205,0.1399,0.583
0.103078,0.5720,0.2334,0.1184,0.629
0.107683,0.5929,0.1884,0.0807,0.627
0.112993,0.5916,0.1456,0.0079,0.609
0.117530,0.5303,0.0885,-0.1045,0.548
0.123477,0.4812,0.0810,-0.1800,0.520
0.128250,0.4580,0.0682,-0.1880,0.500
0.132968,0.4465,0.0143,-0.2592,0.517
0.138414,0.4508,-0.0022,-0.2884,0.535
0.143139,0.4772,-0.0030,-0.3302,0.580
0.147713,0.4889,-0.0501,-0.4100,0.640
0.152748,0.3057,-0.0412,-0.3043,0.433
0.158049,0.2670,0.0300,-0.3011,0.404
0.164448,0.2491,0.2146,-0.3228,0.461
0.169111,0.3100,0.1764,-0.2144,0.416
0.171812,0.2552,0.0926,-0.1545,0.312
0.176935,0.2228,0.0839,-0.1304,0.271
0.182029,0.1081,0.1040,0.0054,0.150
0.187051,-0.0380,0.0453,0.1737,0.184
0.192019,-0.1042,0.0080,0.2890,0.307
0.197437,-0.1221,-0.0103,0.2730,0.299
0.201130,-0.1495,-0.0741,0.2529,0.303
0.207325,-0.1503,-0.1044,0.2378,0.300
0.212066,-0.1380,-0.0588,0.1871,0.240
0.216162,-0.1172,0.0129,0.1481,0.189
0.221067,-0.0474,0.1187,0.0663,0.144
0.226977,0.0438,0.1916,-0.0236,0.198
0.231684,0.1106,0.2970,-0.1171,0.338
0.237317,0.1818,0.3848,-0.2645,0.501
0.241324,0.2332,0.4843,-0.4206,0.683
0.246452,0.3391,0.6077,-0.6069,0.923
0.250752,0.4512,0.7147,-0.7568,1.135
0.256680,0.6038,0.8076,-0.8080,1.292
0.268796,0.6891,0.8917,-0.8614,1.418
0.269273,0.7401,1.0053,-0.9314,1.558
0.271421,0.7497,1.0579,-1.0036,1.640
0.276421,0.7681,1.1070,-0.9944,1.675
0.280443,0.8171,1.1688,-0.8919,1.682
0.285742,0.8659,1.2338,-0.7415,1.680
0.290724,0.9489,1.3008,-0.6076,1.721
0.295528,1.0277,1.3670,-0.4182,1.761
0.300397,1.0884,1.4320,-0.2522,1.816
0.304967,1.0862,1.4427,-0.1430,1.812
0.310927,1.0664,1.4107,0.0222,1.769
0.315567,0.9986,1.3119,0.1691,1.657
0.319891,0.9073,1.1990,0.3718,1.549
0.324685,0.8024,1.0169,0.5393,1.403
0.330014,0.6718,0.8038,0.6335,1.224
0.335029,0.5301,0.6197,0.7286,1.094
0.339397,0.4342,0.4625,0.7909,1.014
0.345909,0.3406,0.2991,0.7632,0.888
0.349693,0.2797,0.2062,0.7340,0.812
0.354417,0.2296,0.1387,0.7104,0.759
0.359316,0.2003,0.1274,0.7641,0.800
0.370653,0.1852,0.1056,0.8685,0.894
0.371074,0.1953,0.0945,1.0019,1.025
0.375503,0.2125,0.0797,1.1259,1.149
0.378979,0.2710,0.0135,1.1994,1.230
0.384962,0.2902,-0.0056,1.2056,1.240
0.390035,0.3037,-0.0440,1.1490,1.189
0.394050,0.2804,-0.0920,0.9985,1.041
0.399309,0.1933,-0.1536,0.8066,0.844
0.404703,0.0705,-0.2237,0.5902,0.635
0.408741,-0.0334,-0.2780,0.3443,0.444
0.414480,-0.1933,-0.3425,0.1385,0.417
0.418880,-0.3356,-0.3907,-0.0538,0.518
0.424848,-0.4217,-0.4680,-0.1752,0.654
0.429799,-0.4733,-0.5216,-0.2856,0.760
